X1,X2,X3,Y
0.783978596,0.746026567,0.951820962,1
0.977480697,0.918870611,0.476701696,1
0.30122539,0.93234845,0.425682447,0
0.055496135,1,0.611391984,1
0.514307066,0.583843476,0.083074003,0
0.73787546,0.338972187,0.024268058,0
0.675180739,0.341331095,0.768085531,0
0.175401974,0.492431664,0.752898801,0
0.410300075,0.926016995,0.65210966,0
0.345978426,0.496386142,0.472215518,0
0.381214889,0.838465605,0.089870622,0
0.859555529,0.317846281,0.904276676,0
0.954913012,0.360936309,0.43625023,1
0.350266913,0.456214932,0.017403443,0
0.341624082,0.454647295,0.735905894,0
0.881737661,0.738589183,0.016053569,1
0.923527843,0.500009524,0.483652869,1
0.739353833,0.724587447,0.706560296,1
0.628347676,0.683119137,0.168326848,0
0.345831864,0.705617925,0.31485055,0
0.323435131,0.837269323,0.341163831,0
0.508725634,0.370893876,0.692362488,0
0.714317145,0.285501217,0.194355833,0
0.355016937,0.745674609,0.917090946,0
0.84375042,0.950567635,0.740741821,1
0.545113096,0.323689498,0.580898591,0
0.075234663,0.586235078,0.887528929,0
0.678471458,0.836907895,0.916994532,1
0.456095723,0.713123991,0.232804058,0
0.232771022,0.830500968,0.183552327,0
0.876142473,1,0.889647792,1
0.022275364,0.639389791,0.034394992,0
0.651424068,1,0.022769683,1
0.220843472,0.635207792,0.223742275,0
0.98699059,0.931486563,0.706110811,1
0.680467581,0.901948065,0.312983667,1
0.40162727,1,0.340580707,1
0.787607291,1,0.976876474,1
0.611102153,0.880161165,0.702205839,1
0.203830175,0.631721298,0.988071838,0
0.927687338,0.377589733,0.352669322,1
0.48182255,0.261088577,0.430491064,0
0.305464895,1,0.843334583,1
0.598017802,0.525693794,0.762328234,0
0.277089344,0.725723572,0.685651253,0
0.380418941,0.955500679,0.823679237,1
0.41322316,1,0.014519387,1
0.792671379,0.699169583,0.054378555,1
0.941840932,1,0.852249536,1
0.065958575,0.964000291,0.440069489,0
0.733682201,0.910727625,0.512135248,1
0.001486775,0.298932687,0.313120184,0
0.813798446,1,0.139121799,1
0.684956512,0.976861691,0.746317079,1
0.312339238,0.337224309,0.962753078,0
0.023241403,0.392459407,0.756741391,0
0.433937719,0.630048481,0.846744526,0
0.913082368,0.395539492,0.681586363,1
